7500 22491
0 1 27
0 2 78
0 3 30
0 5 61
0 6 10
0 12 97
0 14 47
0 25 32
0 31 63
0 36 56
0 61 62
0 70 13
0 106 16
0 113 61
0 145 51
0 154 65
0 165 11
0 166 16
0 191 97
0 206 97
0 208 21
0 209 52
0 210 69
0 263 77
0 265 10
0 336 21
0 339 22
0 495 88
0 508 48
0 545 32
0 657 57
0 779 100
0 817 24
0 838 64
0 855 17
0 889 72
0 906 75
0 908 18
0 1040 2
0 1041 63
0 1120 81
0 1128 96
0 1207 61
0 1256 97
0 1268 3
0 1410 82
0 1443 43
0 1482 20
0 1488 73
0 1656 71
0 2092 51
0 2094 22
0 2106 39
0 2114 40
0 2433 88
0 2478 6
0 2505 90
0 2591 40
0 2702 71
0 2742 36
0 2758 69
0 2825 8
0 2933 26
0 2937 29
0 2941 55
0 2986 99
0 3047 36
0 3083 74
0 3177 26
0 3231 59
0 3253 86
0 3260 89
0 3323 69
0 3324 22
0 3365 37
0 3401 79
0 3518 28
0 3660 31
0 4062 51
0 4085 76
0 4128 99
0 4132 60
0 4173 14
0 4174 72
0 4228 63
0 4271 97
0 4302 3
0 4341 78
0 4419 98
0 4445 79
0 4594 76
0 4614 60
0 4734 81
0 4827 28
0 4864 100
0 4890 25
0 4961 8
0 4978 11
0 4982 53
0 5532 47
0 5668 37
0 5746 84
0 5811 86
0 5866 24
0 5890 88
0 6221 90
0 6282 20
0 6773 3
0 6810 6
0 6944 62
0 7432 57
0 7471 76
1 4 4
1 11 92
1 22 13
1 29 58
1 33 75
1 39 11
1 112 41
1 114 26
1 163 37
1 190 67
1 254 12
1 265 37
1 278 30
1 314 87
1 428 71
1 468 32
1 580 57
1 594 56
1 1197 93
1 1211 63
1 1234 73
1 1681 45
1 1807 99
1 1822 12
1 1831 35
1 1886 45
1 2031 77
1 2088 47
1 2196 9
1 2233 34
1 2282 93
1 2368 88
1 2429 96
1 3027 83
1 3528 21
1 3614 42
1 3629 54
1 3635 63
1 3689 68
1 3736 84
1 4053 56
1 4061 61
1 4174 45
1 4178 59
1 4785 3
1 4996 31
1 5394 7
1 5709 59
1 5734 34
1 5998 58
1 6131 13
1 6244 39
1 6437 93
1 6700 47
1 6780 39
1 7141 23
1 7198 3
1 7293 26
1 7430 55
2 4 33
2 5 16
2 6 38
2 9 27
2 12 10
2 14 8
2 17 78
2 19 9
2 20 100
2 28 36
2 32 10
2 34 41
2 37 68
2 46 42
2 57 55
2 58 60
2 84 77
2 107 38
2 113 55
2 130 74
2 132 64
2 144 23
2 169 54
2 179 1
2 189 15
2 197 2
2 219 75
2 222 1
2 227 76
2 232 75
2 236 31
2 261 31
2 269 17
2 340 10
2 356 56
2 362 10
2 379 83
2 381 45
2 424 18
2 435 52
2 436 16
2 470 49
2 473 90
2 477 10
2 479 73
2 492 61
2 556 6
2 562 7
2 571 82
2 606 99
2 632 100
2 667 37
2 747 22
2 781 83
2 791 98
2 793 51
2 810 67
2 828 45
2 858 16
2 886 29
2 899 80
2 958 38
2 1013 90
2 1039 77
2 1065 85
2 1144 33
