5000 14991
0 1 94
0 2 88
0 3 86
0 4 87
0 5 81
0 6 70
0 10 3
0 12 81
0 14 25
0 17 87
0 18 51
0 20 96
0 22 91
0 27 92
0 29 100
0 30 72
0 31 16
0 36 70
0 39 74
0 42 56
0 43 5
0 44 63
0 64 15
0 70 73
0 73 92
0 88 77
0 91 78
0 92 68
0 114 87
0 118 60
0 119 37
0 131 38
0 140 49
0 153 99
0 154 48
0 169 18
0 180 69
0 186 43
0 231 51
0 233 48
0 267 95
0 272 12
0 280 45
0 283 50
0 290 18
0 306 39
0 319 59
0 343 36
0 347 46
0 367 43
0 378 59
0 379 53
0 409 32
0 469 61
0 474 35
0 492 42
0 498 83
0 507 95
0 519 81
0 532 40
0 556 48
0 565 53
0 567 77
0 590 88
0 649 52
0 653 77
0 665 34
0 675 9
0 713 55
0 730 78
0 755 93
0 772 53
0 778 71
0 822 76
0 920 70
0 927 28
0 939 39
0 995 60
0 999 84
0 1007 49
0 1019 90
0 1020 23
0 1047 9
0 1125 55
0 1127 5
0 1145 1
0 1154 90
0 1174 88
0 1176 41
0 1201 64
0 1283 11
0 1286 97
0 1301 87
0 1376 18
0 1377 94
0 1390 93
0 1455 14
0 1484 42
0 1490 33
0 1544 4
0 1569 58
0 1596 41
0 1648 97
0 1706 71
0 1717 99
0 1725 79
0 1750 54
0 1761 85
0 1776 51
0 1817 71
0 1829 100
0 1893 91
0 1983 16
0 2011 7
0 2113 22
0 2134 22
0 2149 75
0 2323 7
0 2364 21
0 2400 71
0 2443 60
0 2452 88
0 2518 76
0 2541 19
0 2723 83
0 2873 52
0 2910 7
0 2947 19
0 2951 78
0 2953 6
0 2970 81
0 3017 76
0 3116 10
0 3142 51
0 3243 28
0 3275 34
0 3293 33
0 3334 98
0 3337 74
0 3433 5
0 3460 95
0 3505 83
0 3657 82
0 3758 90
0 3767 76
0 3941 4
0 3944 60
0 3997 45
0 4115 49
0 4155 94
0 4299 44
0 4353 59
0 4458 45
0 4502 10
0 4556 87
0 4559 90
0 4588 23
0 4677 58
0 4751 13
0 4777 71
0 4856 56
0 4894 36
0 4918 40
0 4978 51
1 12 55
1 22 50
1 61 2
1 170 94
1 192 50
1 218 44
1 225 15
1 249 19
1 270 9
1 282 24
1 291 38
1 315 61
1 318 4
1 331 73
1 336 45
1 389 28
1 406 96
1 423 84
1 462 52
1 473 86
1 513 24
1 681 79
1 727 46
1 732 77
1 756 3
1 758 72
1 806 99
1 814 81
1 828 87
1 914 31
1 1054 82
1 1060 44
1 1066 3
1 1074 75
1 1124 3
1 1152 42
1 1182 89
1 1261 79
1 1300 4
1 1364 38
1 1488 80
1 1608 61
1 1673 36
1 1700 21
1 1708 81
1 1720 47
1 1741 1
1 1983 97
1 1988 34
1 2391 29
1 2396 53
1 2398 72
1 2476 94
1 2666 36
1 2667 2
1 2804 46
1 2818 86
1 2850 87
1 2879 64
1 2983 38
1 3070 98
1 3332 50
1 3372 65
1 3655 48
1 3694 93
1 3768 33
1 3835 76
1 3938 89
1 4097 30
1 4107 95
1 4174 79
1 4352 50
1 4430 38
1 4725 20
1 4805 73
1 4999 82
2 4 94
2 6 92
2 9 47
2 15 83
2 26 63
2 27 69
2 32 98
2 33 44
2 34 35
2 49 44
2 52 58
2 54 47
2 64 51
2 70 61
2 77 40
2 84 18
2 109 28
2 125 19
2 186 43
2 225 27
2 267 93
2 288 99
2 335 11
2 349 74
2 354 89
2 416 56
2 451 38
2 499 61
2 500 65
2 505 76
2 563 69
2 619 46
2 810 62
2 818 45
2 821 8
2 853 73
2 899 99
2 981 18
2 1025 50
2 1112 16
2 1114 62
2 1232 22
2 1405 56
2 1507 80
2 1635 5
2 1699 41
2 1872 51
2 1911 45
2 1990 96
2 2077 97
2 2092 71
2 2202 59
2 2329 11
2 2651 34
2 2771 16
2 2942 65
2 2947 21
2 3052 74
2 3079 47
2 3205 40
2 3209 42
2 3236 40
2 3327 83
2 3500 71
2 3508 58
2 3544 85
2 3607 44
2 3801 39
2 3994 12
2 4012 83
2 4248 78
2 4316 93
2 4439 6
2 4529 66
2 4606 89
2 4616 88
2 4621 57
2 4671 82
2 4700 33
2 4734 87
2 4800 75
2 4839 46
2 4860 49
3 4 68
3 5 55
3 6 19
3 7 55
3 8 9
3 9 8
3 10 33
3 12 44
3 21 55
3 23 83
3 24 51
3 37 5
3 46 72
3 54 15
3 67 12
3 72 94
3 86 64
3 93 99
3 98 71
3 100 65
3 103 64
3 105 87
3 125 40
3 126 89
3 142 63
3 154 15
3 164 35
3 184 91
3 195 36
3 204 65
3 209 69
3 233 90
3 247 87
3 248 9
3 251 98
3 260 75
3 263 38
3 277 17
3 281 100
3 298 43
3 310 76
3 330 98
3 366 37
3 398 88
3 405 69
3 440 14
3 502 56
3 528 81
3 533 17
3 538 87
3 563 73
3 573 55
3 607 1
3 632 46
3 666 34
3 673 47
3 674 81
3 680 56
3 717 94
3 750 33
3 756 51
3 771 41
3 777 59
3 809 32
3 820 74
3 827 1
3 847 42
3 858 89
3 862 94
3 880 42
3 929 25
3 978 40
3 1005 42
3 1066 2
3 1085 43
3 1162 42
3 1178 9
3 1195 98
3 1225 26
3 1236 21
3 1266 61
3 1269 38
3 1344 87
3 1395 89
3 1437 22
3 1440 5
3 1546 86
3 1559 49
3 1616 10
3 1629 82
3 1643 100
3 1695 92
3 1801 4
3 1802 31
3 1827 12
3 1837 88
3 1868 68
3 1871 26
3 1880 45
3 1913 46
3 2108 17
3 2172 14
3 2197 18
3 2225 98
3 2282 88
3 2284 53
3 2296 63
3 2306 99
3 2307 41
3 2344 49
3 2442 12
3 2523 81
3 2621 40
3 2632 39
3 2638 49
3 2658 73
3 2717 74
3 2840 48
3 2860 88
3 2999 78
3 3060 72
3 3083 75
3 3093 13
3 3190 3
3 3235 52
3 3236 62
3 3254 96
3 3424 61
3 3476 35
3 3479 1
3 3580 75
3 3582 54
3 3618 55
3 3647 43
3 3727 22
3 3737 1
3 3788 50
3 3887 69
3 3933 25
3 3946 37
3 4042 72
3 4119 80
3 4149 4
3 4174 2
3 4176 81
3 4188 95
3 4193 7
3 4219 28
3 4255 66
3 4288 43
3 4392 34
3 4449 48
3 4487 44
3 4494 50
3 4532 5
3 4603 1
3 4608 73
3 4665 35
3 4730 79
3 4739 69
3 4784 79
3 4791 66
3 4856 66
3 4871 59
3 4872 85
3 4909 78
3 4959 70
4 5 71
4 7 20
4 10 18
4 11 34
4 25 44
4 28 61
4 33 60
4 40 7
4 48 37
4 60 93
4 74 13
4 79 46
4 81 16
4 84 41
4 93 21
4 97 66
4 102 17
4 105 53
4 132 57
4 138 41
4 170 22
4 177 43
4 187 63
4 198 70
4 210 17
4 217 7
4 238 1
4 240 71
4 294 97
4 303 31
4 308 45
4 375 7
4 433 53
4 438 15
4 452 46
4 458 19
4 463 95
4 467 67
4 491 85
4 509 19
4 535 78
4 557 92
4 594 34
4 611 67
4 659 100
4 660 40
4 671 61
4 746 37
