4000 11991
0 1 63
0 2 9
0 3 7
0 4 23
0 5 82
0 7 38
0 8 37
0 10 29
0 11 24
0 14 30
0 15 78
0 16 94
0 17 89
0 23 1
0 27 12
0 28 43
0 32 83
0 53 40
0 66 39
0 70 51
0 78 62
0 81 98
0 84 92
0 91 2
0 100 97
0 101 15
0 103 59
0 119 71
0 120 96
0 153 87
0 178 24
0 188 75
0 202 100
0 210 78
0 214 52
0 215 46
0 222 65
0 226 24
0 256 14
0 260 60
0 266 87
0 270 58
0 297 71
0 318 26
0 337 92
0 362 75
0 370 25
0 380 57
0 395 88
0 397 68
0 410 59
0 414 53
0 437 19
0 439 18
0 447 54
0 461 75
0 464 9
0 474 65
0 509 89
0 510 63
0 518 31
0 522 82
0 531 67
0 549 52
0 563 2
0 571 100
0 578 28
0 587 66
0 588 7
0 591 67
0 605 60
0 632 51
0 651 35
0 689 72
0 694 26
0 695 38
0 696 47
0 697 67
0 722 9
0 749 77
0 784 86
0 834 10
0 1015 21
0 1055 13
0 1081 24
0 1102 38
0 1107 80
0 1113 29
0 1160 85
0 1165 10
0 1173 81
0 1194 97
0 1196 45
0 1266 85
0 1405 89
0 1420 17
0 1460 43
0 1497 76
0 1511 29
0 1522 39
0 1548 28
0 1579 74
0 1609 17
0 1633 70
0 1668 87
0 1672 9
0 1685 87
0 1698 17
0 1726 79
0 1736 37
0 1746 11
0 1831 64
0 1851 3
0 1918 4
0 1960 88
0 1999 20
0 2044 62
0 2046 90
0 2047 59
0 2065 8
0 2228 11
0 2235 98
0 2259 94
0 2327 22
0 2346 77
0 2350 86
0 2370 28
0 2371 16
0 2483 15
0 2534 2
0 2647 25
0 2699 3
0 2715 26
0 2816 93
0 2874 56
0 2921 5
0 3039 47
0 3205 44
0 3221 16
0 3245 58
0 3260 95
0 3290 11
0 3361 51
0 3467 23
0 3508 1
0 3520 37
0 3574 34
0 3724 11
0 3778 6
1 4 30
1 5 77
1 6 2
1 8 3
1 11 81
1 18 32
1 21 18
1 26 93
1 35 66
1 43 100
1 58 7
1 59 82
1 60 92
1 72 69
1 78 45
1 80 74
1 126 36
1 129 25
1 220 12
1 226 59
1 227 98
1 234 85
1 267 83
1 338 72
1 347 53
1 357 83
1 359 51
1 363 13
1 381 21
1 404 89
1 432 2
1 498 49
1 543 44
1 605 44
1 611 54
1 634 13
1 668 89
1 759 59
1 790 77
1 818 62
1 1029 59
1 1045 53
1 1191 7
1 1227 90
1 1466 48
1 1475 45
1 1485 1
1 1650 71
1 1728 18
1 1900 20
1 1994 74
1 2065 6
1 2086 69
1 2232 9
1 2273 76
1 2287 59
1 2333 35
1 2359 37
1 2408 66
1 2414 64
1 2428 4
1 2570 52
1 2601 72
1 2602 76
1 2623 64
1 2764 42
1 2798 10
1 2855 15
1 2884 50
1 2956 89
1 2983 18
1 3036 29
1 3102 84
1 3323 30
1 3410 41
1 3711 68
1 3760 37
1 3871 33
1 3904 28
2 44 87
2 64 100
2 66 21
2 91 91
2 93 57
2 122 85
2 125 56
2 145 69
2 154 43
2 202 64
2 224 12
2 238 67
2 250 63
2 284 39
2 295 59
2 314 56
2 375 93
2 407 71
2 411 69
2 414 81
2 499 85
2 591 58
2 696 7
2 703 40
2 780 8
2 837 93
2 863 62
2 870 45
2 981 62
2 1011 99
2 1135 43
2 1158 54
2 1184 21
2 1192 74
2 1254 27
2 1302 57
2 1415 85
2 1418 31
2 1475 24
2 1601 79
2 1964 45
2 2228 69
2 2477 47
2 2612 89
2 2699 50
2 2729 57
2 2764 42
2 2818 47
2 2836 71
2 2842 46
2 2925 82
2 3451 14
2 3620 71
2 3852 84
2 3911 61
2 3933 71
3 4 95
3 5 58
3 7 69
3 10 33
3 19 43
3 39 24
3 136 92
3 144 87
3 193 65
3 232 69
3 240 26
3 321 10
3 332 60
3 468 86
3 500 94
3 593 92
3 628 61
3 656 46
3 684 9
3 798 61
3 915 28
3 1000 9
3 1217 3
3 1258 53
3 1356 52
3 1920 60
3 1990 27
3 2069 34
3 2071 85
3 2078 61
3 2097 96
3 2166 69
3 2168 30
3 2240 35
3 2245 35
3 2265 10
3 2400 88
3 2435 77
3 2809 51
3 2881 37
3 3498 83
3 3575 55
4 6 99
4 10 19
4 12 24
4 16 3
4 17 29
4 26 27
4 34 91
4 36 32
4 38 84
4 47 73
4 51 13
4 71 70
4 74 33
4 106 6
4 133 65
4 136 19
4 151 98
4 156 33
4 240 78
4 259 92
4 275 36
4 450 68
4 457 18
4 464 96
4 505 87
4 514 12
4 522 84
4 527 22
4 582 98
4 627 3
4 674 56
4 699 72
4 707 89
4 710 65
4 718 77
4 751 84
4 883 91
4 986 96
4 1013 67
4 1047 50
4 1100 46
4 1221 14
4 1265 36
4 1286 90
4 1292 81
4 1325 35
4 1386 36
4 1433 78
4 1510 30
4 1525 90
4 1572 25
4 1659 74
4 1667 80
4 1713 78
4 2098 56
4 2212 69
4 2471 2
4 2475 58
4 2600 47
4 2680 63
4 2730 56
4 2732 11
4 2735 92
4 2742 1
4 2808 80
4 2813 32
4 2928 74
4 2970 30
4 2977 39
4 2981 4
4 3135 15
4 3141 98
4 3288 14
4 3341 35
4 3349 28
4 3867 12
4 3994 23
5 6 49
5 7 49
5 9 68
5 12 48
5 14 28
5 19 50
5 22 79
5 28 39
5 31 91
5 35 61
5 36 2
5 39 66
5 43 72
5 45 23
5 48 16
5 58 68
5 76 9
5 88 86
5 93 81
5 104 12
5 105 67
5 106 7
5 108 12
5 140 82
5 143 79
5 166 44
5 168 74
5 180 18
5 181 36
5 229 15
5 238 84
5 242 91
5 256 1
5 268 49
5 277 23
5 284 11
5 285 18
5 292 5
5 309 4
5 317 17
5 329 32
5 349 91
5 363 52
5 385 67
5 395 29
5 438 81
5 452 50
5 477 53
5 490 42
5 531 11
5 613 98
5 626 35
5 633 25
5 657 57
5 684 90
5 695 77
5 698 16
5 729 79
5 779 66
5 803 31
5 819 48
5 838 11
5 884 48
5 885 10
5 892 96
5 917 32
5 925 41
5 937 89
5 955 32
5 970 52
5 972 100
5 983 52
5 996 13
5 1027 35
5 1035 70
5 1042 41
5 1054 8
5 1062 79
5 1163 57
5 1167 67
5 1170 37
5 1196 3
5 1220 88
5 1316 99
5 1355 33
5 1436 80
5 1443 45
5 1448 76
5 1477 31
5 1480 80
5 1505 12
5 1515 45
5 1539 10
5 1547 65
5 1554 98
5 1598 10
5 1599 79
5 1672 44
5 1701 42
5 1821 54
5 1898 40
5 1909 52
5 1919 69
5 1936 48
5 2005 86
5 2034 24
5 2059 6
5 2061 13
5 2097 83
5 2149 89
5 2163 98
5 2207 18
5 2245 63
5 2301 43
5 2311 40
5 2348 15
5 2351 13
5 2355 97
5 2423 56
5 2464 79
5 2466 29
5 2565 90
5 2606 9
5 2620 13
5 2631 19
5 2701 92
5 2726 20
5 2754 23
5 2887 39
5 2917 81
5 2923 11
5 2978 80
5 3007 23
5 3016 79
5 3090 15
5 3168 10
5 3173 54
5 3251 10
5 3319 49
5 3376 94
5 3457 45
5 3464 9
5 3549 23
