1500 4491
0 1 63
0 2 9
0 3 38
0 4 92
0 8 41
0 9 63
0 11 28
0 12 7
0 18 19
0 20 71
0 21 12
0 27 35
0 30 72
0 34 64
0 41 96
0 43 37
0 52 53
0 53 24
0 74 85
0 87 79
0 90 15
0 193 8
0 196 68
0 206 83
0 222 61
0 293 22
0 298 61
0 368 59
0 415 33
0 601 10
0 644 74
0 671 78
0 688 38
0 707 53
0 724 29
0 748 59
0 781 4
0 894 24
0 935 65
0 938 91
0 944 83
0 1107 39
0 1148 93
0 1179 28
0 1207 9
0 1210 37
0 1286 100
0 1292 56
0 1471 33
1 4 19
1 5 60
1 8 13
1 9 30
1 10 32
1 19 43
1 26 55
1 28 35
1 63 28
1 94 62
1 105 93
1 124 23
1 179 34
1 182 27
1 184 30
1 189 14
1 224 7
1 242 73
1 286 26
1 359 38
1 420 21
1 461 2
1 477 64
1 494 83
1 508 36
1 521 88
1 541 75
1 543 29
1 608 68
1 618 83
1 628 15
1 636 86
1 693 87
1 696 26
1 765 32
1 814 59
1 828 55
1 1019 34
1 1107 58
1 1113 69
1 1140 21
1 1143 2
1 1228 68
1 1422 34
2 5 49
2 12 45
2 15 37
2 17 71
2 35 18
2 100 40
2 110 33
2 155 64
2 172 87
2 199 19
2 221 56
2 237 81
2 286 27
2 298 81
2 301 32
2 312 92
2 502 33
2 756 61
2 893 74
2 910 92
2 920 94
2 948 22
2 998 62
2 1175 81
2 1225 5
2 1227 78
2 1339 34
2 1381 46
2 1446 58
2 1498 87
3 4 72
3 5 98
3 6 38
3 7 70
3 8 41
3 13 27
3 14 77
3 20 6
3 21 23
3 25 78
3 30 100
3 32 74
3 36 71
3 39 64
3 49 29
3 58 21
3 61 71
3 62 10
3 70 50
3 71 74
3 79 13
3 99 6
3 116 49
3 117 14
3 120 57
3 131 50
3 140 9
3 141 26
3 144 31
3 168 9
3 183 79
3 186 45
3 202 88
3 203 4
3 213 82
3 219 13
3 239 37
3 274 8
3 276 38
3 295 47
3 307 20
3 324 83
3 329 69
3 332 4
3 341 52
3 363 95
3 398 52
3 400 35
3 402 35
3 450 69
3 451 1
3 496 77
3 500 16
3 518 60
3 542 14
3 550 12
3 586 79
3 594 46
3 620 85
3 631 82
3 647 27
3 650 88
3 705 73
3 730 16
3 772 72
3 778 62
3 785 23
3 810 4
3 838 80
3 842 50
3 873 52
3 875 8
3 876 26
3 889 81
3 891 66
3 971 30
3 980 58
3 995 23
3 1020 49
3 1047 84
3 1054 15
3 1056 74
3 1064 16
3 1091 47
3 1107 58
3 1185 37
3 1239 4
3 1280 88
3 1305 66
3 1367 50
4 6 76
4 7 62
4 40 60
4 92 99
4 115 7
4 199 91
4 218 79
4 256 4
4 355 77
4 356 58
4 515 25
4 694 68
4 775 9
4 793 20
4 806 80
4 841 47
4 982 56
4 1111 85
4 1391 83
5 6 86
5 9 88
5 11 35
5 16 68
5 22 8
5 27 46
5 28 44
5 44 1
5 46 78
5 48 53
5 58 22
5 73 87
5 77 24
5 81 85
5 92 12
5 93 75
5 97 51
5 109 73
5 140 4
5 143 90
5 147 50
5 155 22
5 160 9
5 167 4
5 170 42
5 174 8
5 187 20
5 207 27
5 208 84
5 261 94
5 263 100
5 287 56
5 290 83
5 318 97
5 321 90
5 343 61
5 348 42
5 375 51
5 381 28
5 385 73
5 387 97
5 429 36
5 441 1
5 467 25
5 511 68
5 525 91
5 537 44
5 540 14
5 557 13
5 574 28
5 587 49
5 610 56
5 627 47
5 640 60
5 668 22
5 691 35
5 725 77
5 726 23
5 771 24
5 799 52
5 902 17
5 918 31
5 946 96
5 967 45
5 990 42
5 1018 99
5 1019 51
5 1023 51
5 1099 78
5 1123 32
5 1140 45
5 1158 36
5 1169 22
5 1191 76
5 1200 64
5 1230 20
5 1240 26
5 1281 27
5 1322 76
5 1326 63
5 1371 6
5 1405 9
5 1443 58
6 7 98
6 10 65
6 13 47
6 16 61
6 20 32
6 23 22
6 25 10
6 27 91
6 28 23
6 30 62
6 31 14
6 40 17
6 43 94
6 59 10
6 61 39
6 80 43
6 101 94
6 113 58
6 115 28
6 131 41
6 137 73
6 142 77
6 159 68
6 174 90
6 195 25
6 198 98
6 235 47
6 277 41
6 285 69
6 289 93
6 309 8
6 315 23
6 326 69
6 341 87
6 365 25
6 374 89
6 397 81
6 409 68
6 438 76
6 453 39
6 458 63
6 489 53
6 551 94
6 561 82
6 614 71
6 701 26
6 714 52
6 729 81
6 747 10
6 782 96
6 799 25
6 820 45
6 868 100
6 914 72
6 950 50
6 999 13
6 1045 24
6 1046 76
6 1068 31
6 1084 1
6 1214 87
6 1318 65
6 1448 20
7 11 40
7 12 39
7 24 7
7 200 30
7 236 100
7 259 94
7 380 54
7 407 87
7 535 88
7 541 77
7 687 13
7 1159 62
7 1304 97
7 1332 30
7 1400 34
7 1432 100
8 10 15
8 13 57
8 21 60
8 22 80
8 34 40
8 36 34
8 54 27
8 60 71
8 75 75
8 84 88
8 86 13
8 121 87
8 163 62
8 169 95
8 290 92
8 313 25
8 337 50
8 399 7
8 501 48
8 503 3
8 555 27
8 616 2
8 619 36
8 650 22
8 699 67
8 805 92
8 932 81
8 977 34
8 979 20
8 1032 22
8 1121 88
8 1129 73
8 1182 9
8 1188 20
8 1322 76
8 1340 21
8 1391 34
8 1458 48
8 1466 53
8 1476 66
9 14 86
9 17 12
9 22 83
9 37 8
9 48 93
9 55 91
9 56 52
9 67 42
9 70 12
9 84 57
9 113 21
9 130 16
9 156 51
9 164 14
9 203 85
9 214 79
9 245 21
9 306 54
9 309 21
9 351 95
9 360 98
9 423 33
9 452 53
9 462 4
9 512 73
9 525 84
9 536 67
9 592 67
9 617 27
9 647 91
9 891 62
9 914 78
9 985 43
9 1172 42
9 1216 79
9 1287 97
9 1308 97
9 1357 22
10 15 97
10 17 93
10 26 7
10 29 58
10 45 98
10 52 7
10 55 32
10 93 12
10 102 35
10 126 50
10 135 87
10 179 29
10 215 72
10 260 21
10 272 85
10 304 3
10 350 85
10 362 20
10 372 20
10 421 39
10 455 53
10 469 66
10 470 34
10 489 41
10 503 17
10 528 52
10 540 48
10 550 41
10 574 9
10 600 2
10 623 47
10 656 39
10 678 66
10 723 18
10 729 22
10 730 38
10 812 51
10 815 96
10 837 32
10 942 79
10 964 23
10 1004 73
10 1135 13
10 1176 58
10 1347 84
10 1397 33
10 1401 67
11 15 30
11 18 68
11 39 9
11 69 45
11 88 53
11 102 50
11 107 30
11 126 82
11 167 21
11 172 55
11 194 88
11 201 29
11 230 89
11 236 37
11 264 94
11 266 99
11 290 20
11 311 70
11 328 35
11 336 86
11 390 93
11 397 24
11 413 75
11 420 76
11 434 100
11 514 55
11 599 66
11 803 90
11 838 5
11 925 33
11 975 28
11 1153 81
11 1155 70
11 1157 91
11 1244 80
11 1323 73
11 1324 83
11 1362 44
11 1444 31
11 1457 1
11 1486 99
12 31 33
12 63 30
12 65 4
12 67 40
12 69 77
12 81 31
12 98 24
12 106 60
12 119 47
12 148 86
12 182 83
12 199 20
12 209 99
12 233 15
