1000 2991
0 1 67
0 2 43
0 3 93
0 4 50
0 5 78
0 6 50
0 8 16
0 12 7
0 13 46
0 18 7
0 22 51
0 32 8
0 48 68
0 51 7
0 55 100
0 56 71
0 58 78
0 78 100
0 83 23
0 97 77
0 139 57
0 176 88
0 177 46
0 186 58
0 207 76
0 217 46
0 226 4
0 245 26
0 246 48
0 264 100
0 265 33
0 309 15
0 338 98
0 430 52
0 538 12
0 558 97
0 574 36
0 617 100
0 630 27
0 661 78
0 706 88
0 733 83
1 31 6
1 34 52
1 90 33
1 108 50
1 234 19
1 382 96
1 388 28
1 482 84
1 514 93
1 538 78
1 702 51
1 837 94
1 927 87
1 970 47
2 4 16
2 11 79
2 26 93
2 36 96
2 41 42
2 52 74
2 60 54
2 65 87
2 67 60
2 77 10
2 95 89
2 97 45
2 102 16
2 123 5
2 138 51
2 149 96
2 186 5
2 194 73
2 223 23
2 234 35
2 247 73
2 252 26
2 292 54
2 307 69
2 347 8
2 414 23
2 434 39
2 445 60
2 472 83
2 479 20
2 486 40
2 495 44
2 496 59
2 522 36
2 537 79
2 550 20
2 555 31
2 634 64
2 661 84
2 695 22
2 718 7
2 737 30
2 763 24
2 801 53
2 827 71
2 867 55
2 919 95
2 948 90
2 954 37
2 999 78
3 4 91
3 5 55
3 7 53
3 9 66
3 11 16
3 14 1
3 16 14
3 19 29
3 25 3
3 26 34
3 27 32
3 28 10
3 33 8
3 36 95
3 39 54
3 40 93
3 41 96
3 44 45
3 49 60
3 62 21
3 85 89
3 99 1
3 111 97
3 118 83
3 119 85
3 133 6
3 140 73
3 161 47
3 168 33
3 171 7
3 172 50
3 176 1
3 192 84
3 211 74
3 281 84
3 327 14
3 331 71
3 356 18
3 361 15
3 374 12
3 386 54
3 397 50
3 401 77
3 415 15
3 432 89
3 458 51
3 474 18
3 488 46
3 492 1
3 499 82
3 508 15
3 510 96
3 512 72
3 521 60
3 526 98
3 570 27
3 586 53
3 622 30
3 626 78
3 630 65
3 635 10
3 682 20
3 709 62
3 757 18
3 759 49
3 806 21
3 834 72
3 846 76
3 865 69
3 950 60
3 953 46
4 5 16
4 6 54
4 8 27
4 9 14
4 14 44
4 17 54
4 19 63
4 23 15
4 33 17
4 35 72
4 38 10
4 42 66
4 48 61
4 60 74
4 61 46
4 63 18
4 66 10
4 78 53
4 82 88
4 88 83
4 107 55
4 110 15
4 112 31
4 115 6
4 120 77
4 135 73
4 166 58
4 194 41
4 219 18
4 278 11
4 305 53
4 336 92
4 341 73
4 365 33
4 394 23
4 402 83
4 480 9
4 536 17
4 540 100
4 563 3
4 577 57
4 582 31
4 629 68
4 641 7
4 650 70
4 667 100
4 671 93
4 699 48
4 703 16
4 806 27
4 923 26
4 944 54
4 945 3
5 6 53
5 7 97
5 9 63
5 18 20
5 20 94
5 21 78
5 34 69
5 63 37
5 70 71
5 78 3
5 84 51
5 87 51
5 91 7
5 105 86
5 113 99
5 130 20
5 133 14
5 145 18
5 160 95
5 162 92
5 165 61
5 174 80
5 198 26
5 204 77
5 222 99
5 228 32
5 231 47
5 234 84
5 272 54
5 298 5
5 322 94
5 323 15
5 339 38
5 359 60
5 371 76
5 378 41
5 397 80
5 400 32
5 428 67
5 448 24
5 458 49
5 464 78
5 478 19
5 621 2
5 674 93
5 677 55
5 679 93
5 682 3
5 813 33
5 835 44
5 845 74
5 874 56
5 878 65
5 883 59
5 927 52
5 941 49
5 959 43
5 964 55
5 973 89
5 983 27
6 7 92
6 11 48
6 12 77
6 13 79
6 16 6
6 17 46
6 20 72
6 23 89
6 29 46
6 37 47
6 46 11
6 49 80
6 52 46
6 53 13
6 54 50
6 65 76
6 83 68
6 133 31
6 143 62
