2500 7491
0 1 65
0 2 7
0 3 54
0 4 86
0 5 7
0 6 15
0 7 65
0 8 79
0 9 14
0 11 79
0 12 66
0 14 39
0 16 76
0 29 99
0 35 65
0 39 77
0 42 29
0 50 53
0 55 36
0 57 70
0 62 33
0 65 68
0 66 36
0 73 86
0 85 94
0 116 55
0 117 72
0 118 15
0 121 55
0 133 46
0 143 84
0 162 7
0 175 42
0 189 35
0 191 47
0 205 54
0 222 54
0 227 7
0 229 65
0 232 91
0 237 65
0 239 58
0 242 11
0 250 97
0 255 27
0 258 29
0 263 53
0 268 98
0 271 46
0 273 70
0 279 14
0 282 90
0 285 1
0 308 37
0 323 10
0 337 99
0 363 64
0 366 98
0 369 90
0 375 48
0 409 14
0 415 100
0 418 38
0 427 63
0 446 26
0 461 66
0 498 27
0 518 68
0 519 95
0 582 82
0 587 28
0 590 22
0 594 27
0 602 53
0 610 26
0 619 61
0 629 29
0 651 63
0 663 80
0 676 6
0 687 72
0 695 84
0 705 70
0 709 18
0 752 5
0 776 71
0 780 52
0 784 84
0 787 99
0 858 64
0 889 74
0 898 28
0 932 42
0 945 84
0 967 32
0 968 5
0 977 74
0 992 100
0 1033 98
0 1071 79
0 1082 32
0 1107 60
0 1138 19
0 1173 82
0 1174 64
0 1183 28
0 1206 27
0 1207 37
0 1227 18
0 1229 18
0 1251 96
0 1278 12
0 1301 71
0 1332 54
0 1334 23
0 1341 100
0 1350 19
0 1386 68
0 1396 77
0 1462 85
0 1463 86
0 1489 21
0 1492 35
0 1576 48
0 1591 7
0 1610 99
0 1628 30
0 1654 44
0 1659 58
0 1687 80
0 1705 63
0 1745 55
0 1759 44
0 1782 1
0 1792 60
0 1861 54
0 1959 16
0 1960 20
0 1983 89
0 2009 73
0 2072 59
0 2082 70
0 2087 72
0 2089 10
0 2161 78
0 2247 45
0 2269 23
0 2300 32
0 2323 24
0 2352 50
0 2438 69
0 2479 61
0 2484 90
0 2494 28
0 2496 39
1 7 95
1 17 97
1 19 79
1 36 22
1 70 62
1 75 40
1 81 26
1 84 2
1 181 70
1 199 64
1 203 11
1 219 10
1 228 47
1 331 89
1 342 14
1 348 28
1 396 30
1 432 9
1 433 31
1 442 3
1 520 1
1 550 2
1 556 36
1 559 44
1 581 59
1 584 31
1 589 37
1 616 84
1 630 27
1 676 86
1 683 73
1 722 61
1 741 95
1 763 49
1 839 68
1 918 53
1 929 8
1 1026 68
1 1086 10
