2000 5991
0 1 17
0 2 83
0 3 59
0 4 39
0 5 25
0 6 84
0 7 81
0 8 1
0 13 55
0 14 63
0 16 49
0 19 97
0 20 93
0 21 57
0 23 86
0 29 51
0 31 22
0 38 55
0 45 13
0 54 91
0 63 95
0 75 3
0 81 15
0 89 38
0 98 60
0 117 22
0 123 98
0 127 8
0 156 44
0 166 76
0 173 98
0 179 61
0 187 69
0 200 84
0 209 80
0 219 35
0 220 22
0 226 85
0 237 40
0 256 62
0 261 24
0 262 63
0 276 1
0 288 89
0 313 57
0 328 94
0 337 33
0 354 82
0 356 32
0 361 58
0 404 34
0 418 8
0 439 12
0 456 34
0 481 21
0 499 47
0 517 84
0 529 49
0 550 83
0 585 48
0 614 88
0 635 94
0 646 3
0 679 27
0 687 63
0 734 26
0 748 5
0 753 40
0 777 77
0 782 71
0 790 44
0 831 29
0 833 92
0 842 79
0 843 91
0 859 93
0 866 14
0 888 29
0 951 45
0 963 89
0 979 6
0 982 38
0 986 17
0 1001 67
0 1087 30
0 1094 83
0 1124 8
0 1127 38
0 1190 63
0 1221 61
0 1232 83
0 1244 37
0 1380 63
0 1401 37
0 1501 78
0 1517 6
0 1562 77
0 1586 42
0 1626 91
0 1640 47
0 1660 47
0 1679 71
0 1722 85
0 1724 56
1 4 26
1 5 45
1 13 78
1 15 89
1 17 19
1 25 73
1 28 44
1 36 94
1 56 78
1 66 64
1 71 58
1 72 79
1 92 65
1 122 52
1 150 61
1 155 43
1 183 20
1 189 49
1 190 100
1 202 82
1 206 84
1 217 21
1 223 50
1 230 6
1 236 26
1 265 3
1 267 52
1 272 53
1 277 77
1 292 46
1 295 34
1 323 100
1 328 54
1 357 88
1 390 87
1 415 60
1 436 75
1 443 21
1 455 35
1 484 29
1 537 33
1 538 92
1 559 72
1 597 35
1 625 4
1 630 43
1 688 45
1 729 20
1 767 7
1 790 9
1 799 6
1 812 29
1 837 9
1 850 67
1 878 58
1 926 95
1 996 3
1 1042 72
1 1063 13
1 1206 87
1 1212 68
1 1239 74
1 1272 20
1 1284 45
1 1306 7
1 1350 52
1 1375 60
1 1380 12
1 1419 9
1 1487 95
1 1520 31
1 1617 34
1 1720 48
1 1744 64
1 1763 12
1 1861 88
1 1890 37
1 1930 91
1 1952 66
1 1961 21
1 1963 45
1 1970 70
2 9 80
2 10 49
2 13 17
2 15 75
2 17 100
2 18 78
2 31 82
2 36 14
2 39 29
2 52 62
2 58 79
2 63 86
2 195 77
2 250 11
2 271 80
2 319 17
2 321 72
2 347 97
2 371 8
2 432 63
2 482 26
2 493 77
2 500 42
2 654 51
2 665 15
2 692 35
2 714 26
2 768 12
2 867 43
2 906 32
2 933 69
2 942 57
2 1118 86
2 1205 37
2 1216 48
2 1221 52
2 1235 73
2 1377 79
2 1396 49
2 1425 15
2 1456 89
2 1504 98
2 1737 82
2 1812 3
2 1813 20
2 1917 78
2 1976 100
2 1996 89
3 4 6
3 6 85
3 7 92
3 8 51
3 10 33
3 11 40
3 14 48
3 16 31
3 18 56
3 21 4
3 22 49
3 24 28
3 28 93
3 32 83
3 33 2
3 37 65
3 48 19
3 50 7
3 52 26
3 53 2
3 55 97
3 56 85
3 57 29
3 66 81
3 67 32
3 69 6
3 73 57
3 76 22
3 83 35
3 92 70
3 94 41
3 98 70
3 106 52
3 107 96
3 108 54
3 111 53
3 121 65
3 131 93
3 148 76
3 157 21
3 178 96
3 180 46
3 181 87
3 195 16
3 207 78
3 216 83
3 226 96
3 247 12
3 268 57
3 269 9
3 298 88
3 302 22
3 322 7
3 340 35
3 350 73
3 372 100
3 420 81
3 424 66
3 425 36
3 436 81
3 464 7
3 467 6
3 469 59
3 470 85
3 492 72
3 497 62
3 520 39
3 532 29
3 539 2
3 542 43
3 604 34
3 636 16
3 656 66
3 666 28
3 668 15
3 672 31
3 683 49
3 706 21
3 763 83
3 769 96
3 811 14
3 850 10
3 893 38
3 906 68
3 958 47
3 971 27
3 973 44
3 974 27
3 1008 74
3 1038 22
3 1041 98
3 1055 83
3 1072 63
3 1088 7
3 1102 75
3 1144 98
3 1156 27
3 1197 71
3 1234 48
3 1252 45
3 1259 70
3 1270 17
3 1283 7
3 1287 99
3 1348 69
3 1391 2
3 1440 57
3 1482 72
3 1527 55
3 1552 29
3 1555 30
3 1653 71
3 1694 79
3 1714 75
3 1771 74
3 1831 86
3 1847 45
3 1859 54
3 1876 29
3 1881 61
3 1884 89
3 1889 86
3 1907 69
3 1915 8
3 1924 67
3 1948 78
3 1976 45
3 1980 34
3 1986 27
4 5 84
4 6 87
4 7 52
4 9 18
4 10 7
4 12 32
4 19 2
4 21 75
4 26 84
4 30 19
4 40 50
4 44 89
4 49 99
4 50 2
4 57 57
4 62 70
4 64 88
4 65 82
4 68 51
4 70 70
4 79 97
4 82 66
4 87 62
4 92 84
4 93 82
4 99 60
4 107 96
4 112 76
4 128 29
4 148 92
4 154 30
4 157 98
4 160 82
4 169 66
4 170 98
4 171 91
4 191 77
4 193 8
4 211 85
4 224 83
4 227 41
4 237 22
4 240 5
4 251 22
4 294 14
4 295 14
4 299 49
4 313 90
4 317 26
4 320 83
4 326 17
4 330 29
4 366 64
4 391 67
4 396 25
4 405 79
4 417 3
4 421 100
4 440 54
4 441 89
4 448 80
4 457 18
4 475 7
4 521 49
4 522 75
4 527 3
4 586 96
4 589 2
4 599 60
4 602 35
4 609 5
4 660 97
4 667 74
4 684 14
4 714 71
4 739 27
