500 1491
0 1 31
0 2 43
0 3 75
0 4 17
0 5 3
0 6 91
0 8 36
0 9 31
0 11 38
0 33 44
0 36 15
0 44 69
0 53 77
0 77 26
0 81 87
0 86 38
0 103 44
0 111 19
0 118 76
0 172 15
0 190 19
0 195 79
0 200 75
0 202 93
0 205 74
0 224 93
0 228 43
0 229 61
0 230 67
0 237 25
0 280 18
0 341 89
0 400 99
0 406 44
0 420 68
0 426 76
0 456 15
1 5 50
1 6 4
1 7 6
1 18 85
1 21 39
1 24 19
1 27 87
1 40 56
1 41 3
1 43 27
1 47 78
1 54 94
1 55 84
1 59 73
1 63 41
1 64 33
1 68 6
1 79 15
1 86 55
1 89 61
1 95 43
1 97 52
1 116 4
1 148 21
1 191 1
1 199 44
1 202 89
1 207 5
1 209 46
1 211 56
1 236 47
1 242 49
1 244 65
1 249 27
1 262 62
1 279 36
1 323 40
1 340 55
1 343 45
1 370 54
1 376 75
1 380 65
1 403 84
1 413 96
1 418 69
1 444 14
1 480 14
2 4 96
2 6 62
2 10 75
2 13 34
2 18 85
2 19 25
2 22 20
2 29 88
2 31 54
2 32 4
2 38 84
2 42 87
2 45 97
2 47 30
2 48 48
2 123 27
2 136 91
2 148 18
2 149 16
2 193 21
2 209 72
2 215 73
2 253 42
2 278 56
2 346 27
2 354 27
2 384 25
2 432 54
2 438 9
2 455 16
2 459 60
2 480 95
3 4 22
3 5 26
3 8 65
3 11 24
3 12 95
3 16 39
3 19 35
3 23 74
3 24 3
3 25 4
3 28 82
3 31 97
3 43 72
3 55 11
3 63 91
3 64 35
3 80 19
3 81 55
3 85 44
3 87 23
3 113 56
3 127 12
3 129 24
3 130 79
3 146 53
3 159 86
3 168 76
3 171 47
3 173 73
3 179 73
3 183 85
3 185 8
3 189 37
3 196 63
3 216 97
3 234 29
3 240 24
3 264 92
3 284 83
3 286 82
3 290 24
3 295 33
3 306 19
3 315 34
3 335 5
3 342 61
3 373 54
3 399 37
3 424 12
3 441 76
3 453 28
3 458 90
3 486 65
3 493 59
4 10 28
4 12 88
4 14 65
4 15 13
4 26 15
4 30 79
4 33 32
4 35 67
4 40 75
4 42 15
4 44 2
4 47 42
4 50 83
4 56 14
4 62 60
4 78 92
4 85 61
4 89 11
4 102 24
4 104 91
4 110 75
4 115 66
4 125 15
4 131 16
4 135 5
4 141 55
4 142 32
4 152 32
4 167 8
4 176 17
4 177 39
4 194 81
4 225 27
4 226 36
4 234 8
4 248 70
4 249 76
4 266 78
4 271 10
4 278 80
4 285 28
4 291 72
4 304 64
4 305 76
4 322 15
4 347 5
4 349 12
4 351 25
4 361 38
4 368 98
4 371 2
4 400 71
4 418 47
4 422 41
4 443 70
4 444 55
4 445 76
4 473 73
4 474 2
4 485 70
4 486 70
5 7 90
5 14 93
5 17 43
5 25 4
5 29 15
5 54 86
5 66 55
5 83 73
5 87 3
5 88 12
5 109 46
5 123 41
5 150 25
5 153 71
5 175 98
5 209 49
5 210 74
5 232 85
5 268 21
5 270 31
5 305 56
5 307 48
6 7 66
6 8 93
6 9 60
6 25 55
6 37 70
6 39 25
6 57 3
6 61 67
6 65 95
6 75 88
6 102 70
6 115 53
6 131 60
6 134 73
6 168 49
6 170 87
6 186 19
6 241 91
6 257 14
6 291 2
6 300 98
6 316 50
6 348 65
6 446 76
6 472 70
7 26 74
7 31 6
7 33 94
7 35 47
7 43 98
7 74 63
7 92 12
7 177 41
7 184 88
7 223 7
7 241 40
7 255 14
7 282 46
7 310 70
7 330 57
7 332 10
7 335 96
7 359 48
7 370 59
7 421 62
7 424 43
7 432 28
7 474 96
7 497 81
8 9 39
8 10 40
8 12 99
8 14 53
8 17 82
8 19 54
8 28 23
8 46 64
8 48 16
8 50 52
8 51 59
8 68 80
8 82 1
8 93 74
8 151 25
8 155 68
8 160 1
8 212 5
8 235 20
8 239 65
8 286 35
8 290 88
8 328 100
8 346 50
8 360 13
8 384 45
8 387 47
8 394 43
8 396 96
8 416 3
8 481 26
8 499 60
9 11 84
9 13 14
9 18 82
9 20 9
9 22 8
9 32 17
9 45 70
9 51 96
9 75 63
9 90 56
9 91 83
9 116 3
9 121 66
9 122 80
9 136 55
9 211 59
9 216 87
9 258 26
9 289 65
9 312 69
9 326 5
9 331 56
9 342 23
9 362 64
9 366 79
9 378 63
9 417 15
9 430 3
9 470 60
9 497 23
10 21 89
10 22 12
10 27 50
10 34 83
10 46 86
10 53 55
10 58 51
10 73 25
10 74 41
10 97 72
10 100 3
10 105 89
10 109 70
10 130 63
10 187 61
10 197 48
10 219 71
10 231 31
10 264 29
10 328 61
10 365 45
10 442 99
10 450 40
10 478 96
11 13 94
11 29 9
11 30 83
11 41 61
11 44 27
11 45 1
11 53 84
11 56 39
11 59 63
11 65 52
11 84 68
11 85 61
11 123 20
11 124 8
11 127 33
11 131 26
11 145 95
11 151 65
11 157 51
11 161 10
11 165 25
11 205 73
11 230 59
11 260 70
11 261 62
11 355 27
11 376 42
11 402 39
11 460 42
11 493 95
12 15 81
12 16 9
12 26 89
12 55 95
12 57 13
12 68 11
12 81 22
12 82 64
12 99 32
12 101 81
12 134 11
12 159 66
12 200 74
12 205 85
12 222 50
12 270 93
12 305 58
12 327 89
12 334 38
12 374 65
12 380 31
12 436 3
12 474 28
13 28 37
13 32 97
13 38 46
13 49 86
13 72 37
13 104 4
13 126 81
